valCH0[96].imag, 0x0000,
valCH0[97].real, 0x0000,
valCH0[97].imag, 0x0000,
valCH0[98].real, 0x0000,
valCH0[98].imag, 0x0000,
valCH0[99].real, 0x0000,
valCH0[99].imag, 0x0000,
valCH0[100].real, 0x0000,
valCH0[100].imag, 0x0000,
valCH0[101].real, 0x0000,
valCH0[101].imag, 0x0000,
valCH0[102].real, 0x0000,
valCH0[102].imag, 0x0000,
valCH0[103].real, 0x0000,
valCH0[103].imag, 0x0000,
valCH0[104].real, 0x0000,
valCH0[104].imag, 0x0000,
valCH0[105].real, 0x0000,
valCH0[105].imag, 0x0000,
valCH0[106].real, 0x0000,
valCH0[106].imag, 0x0000,
valCH0[107].real, 0x0000,
valCH0[107].imag, 0x0000,
valCH0[108].real, 0x0000,
valCH0[108].imag, 0x0000,
valCH0[109].real, 0x0000,
valCH0[109].imag, 0x0000,
valCH0[110].real, 0x0000,
valCH0[110].imag, 0x0000,
valCH0[111].real, 0x0000,
valCH0[111].imag, 0x0000,
valCH0[112].real, 0x0000,
valCH0[112].imag, 0x0000,
valCH0[113].real, 0x0000,
valCH0[113].imag, 0x0000,
valCH0[114].real, 0x0000,
valCH0[114].imag, 0x0000,
valCH0[115].real, 0x0000,
valCH0[115].imag, 0x0000,
valCH0[116].real, 0x0000,
valCH0[116].imag, 0x0000,
valCH0[117].real, 0x0000,
valCH0[117].imag, 0x0000,
valCH0[118].real, 0x0000,
valCH0[118].imag, 0x0000,
valCH0[119].real, 0x0000,
valCH0[119].imag, 0x0000,
valCH0[120].real, 0x0000,
valCH0[120].imag, 0x0000,
valCH0[121].real, 0x0000,
valCH0[121].imag, 0x0000,
valCH0[122].real, 0x0800,
valCH0[122].imag, 0x0000,
valCH0[123].real, 0x0000,
valCH0[123].imag, 0x0000,
valCH0[124].real, 0x0000,
valCH0[124].imag, 0x0000,
valCH0[125].real, 0x0000,
valCH0[125].imag, 0x0000,
valCH0[126].real, 0x0000,
valCH0[126].imag, 0x0000,
valCH0[127].real, 0x0000,
valCH0[127].imag, 0x0000,
valCH0[128].real, 0x0000,
valCH0[128].imag, 0x0000,
valCH0[129].real, 0x0000,
valCH0[129].imag, 0x0000,
valCH0[130].real, 0x0000,
valCH0[130].imag, 0x0000,
valCH0[131].real, 0x0000,
valCH0[131].imag, 0x0000,
valCH0[132].real, 0x0000,
valCH0[132].imag, 0x0000,
valCH0[133].real, 0x0000,
valCH0[133].imag, 0x0000,
valCH0[134].real, 0x0000,
valCH0[134].imag, 0x0000,
valCH0[135].real, 0x0000,
valCH0[135].imag, 0x0000,
valCH0[136].real, 0x0000,
valCH0[136].imag, 0x0000,
valCH0[137].real, 0x0000,
valCH0[137].imag, 0x0000,
valCH0[138].real, 0x0000,
valCH0[138].imag, 0x0000,
valCH0[139].real, 0x0000,
valCH0[139].imag, 0x0000,
valCH0[140].real, 0x0000,
valCH0[140].imag, 0x0000,
valCH0[141].real, 0x0000,
valCH0[141].imag, 0x0000,
valCH0[142].real, 0x0000,
valCH0[142].imag, 0x0000,
valCH0[143].real, 0x0000,
valCH0[143].imag, 0x0000,
valCH0[144].real, 0x0000,
valCH0[144].imag, 0x0000,
valCH0[145].real, 0x0000,
valCH0[145].imag, 0x0000,
valCH0[146].real, 0x0000,
valCH0[146].imag, 0x0000,
